Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,App,31,,,,,14,9,,
2012,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Adm,6,,,,,3,,,
2012,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Enr,4,,,,,3,,,
2012,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,App,23,,,,,10,12,,
2012,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Adm,,,,,,,,,
2012,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Enr,,,,,,,,,
2012,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,App,17,,,,,,5,,
2012,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Adm,7,,,,,,3,,
2012,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Enr,5,,,,,,,,
2012,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,App,17,5,,,,9,,,
2012,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Adm,6,,,,,5,,,
2012,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Enr,3,,,,,,,,
2012,APTOS HIGH SCHOOL,Aptos,Santa Cruz,App,27,,,6,,,16,,
2012,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Adm,,,,,,,,,
2012,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Enr,,,,,,,,,
2012,ARAGON HIGH SCHOOL,San Mateo,San Mateo,App,94,,,10,,66,12,,
2012,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Adm,17,,,,,12,,,
2012,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Enr,10,,,,,7,,,
2012,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,App,307,,,16,,254,19,11,
2012,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Adm,49,,,,,42,,,
2012,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Enr,20,,,,,17,,,
2012,ARCATA HIGH SCHOOL,Arcata,Humboldt,App,22,,,,,8,9,,
2012,ARCATA HIGH SCHOOL,Arcata,Humboldt,Adm,3,,,,,,,,
2012,ARCATA HIGH SCHOOL,Arcata,Humboldt,Enr,3,,,,,,,,
2012,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,App,35,,,,,,26,,
2012,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,Adm,7,,,,,,4,,
2012,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,Enr,3,,,,,,,,
2012,ARLINGTON HIGH SCHOOL,Riverside,Riverside,App,16,,,9,,,,,
2012,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Adm,6,,,4,,,,,
2012,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Enr,,,,,,,,,
2012,ARMIJO HIGH SCHOOL,Fairfield,Solano,App,47,,,12,,21,11,,
2012,ARMIJO HIGH SCHOOL,Fairfield,Solano,Adm,6,,,,,,,,
2012,ARMIJO HIGH SCHOOL,Fairfield,Solano,Enr,4,,,,,,,,
2012,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,App,132,,,12,,86,27,,
2012,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Adm,30,,,3,,21,4,,
2012,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Enr,13,,,,,8,,,
2012,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,App,55,,,15,,6,28,,
2012,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Adm,13,,,4,,,4,,
2012,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Enr,4,,,,,,,,
2012,ARROYO HIGH SCHOOL,El Monte,Los Angeles,App,38,,,,,35,,,
2012,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Adm,5,,,,,3,,,
2012,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Enr,,,,,,,,,
